time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,symbol,return,volatility,momentum,tssi,sentiment_disagreement,article_volume,sentiment_momentum,msi
2025-08-06,0.2072,0.1956,0.1998,270816524.17,54586643.21,0.2053,direct,,DOGE,0.027527527527527518,0.04860699287051879,0.032696177062374376,0.3507088888888889,0.29315099094632185,0.0,0.3507088888888889,0.733296
2025-08-07,0.2066,0.2036,0.2053,25693992.15,5261798.41,0.2039,direct,,DOGE,-0.006819288845591909,0.04578782879874879,-0.030893536121673004,0.5408933333333333,0.25028825728214527,3.0,0.5408933333333333,0.733296
2025-07-08,3.475,3.327,3.37,2467391.85,8409580.76,3.448,direct,,DOT,,,,0.5408933333333333,0.25028825728214527,0.0,0.5408933333333333,0.733296
2025-07-09,3.659,3.418,3.448,2500842.83,8800420.05,3.621,direct,,DOT,0.05017401392111376,,,0.5408933333333333,0.25028825728214527,0.0,0.5408933333333333,0.733296
2025-07-10,3.892,3.592,3.621,3176480.9,11783127.86,3.88,direct,,DOT,0.07152720243026778,,,0.5408933333333333,0.25028825728214527,0.0,0.5408933333333333,0.733296
2025-07-11,4.108,3.812,3.88,4143055.93,16434070.29,3.909,direct,,DOT,0.007474226804123685,,0.13370069605568435,0.5408933333333333,0.25028825728214527,0.0,0.5408933333333333,0.733296
2025-07-12,4.066,3.798,3.909,2361541.69,9251026.16,3.891,direct,,DOT,-0.004604758250191798,,0.07456503728251862,0.5408933333333333,0.25028825728214527,0.0,0.5408933333333333,0.733296
2025-07-13,4.067,3.877,3.891,1842835.05,7338713.79,3.984,direct,,DOT,0.02390131071703938,,0.026804123711340333,0.5408933333333333,0.25028825728214527,0.0,0.5408933333333333,0.733296
2025-07-14,4.196,3.903,3.984,3356230.65,13682886.45,3.951,direct,,DOT,-0.008283132530120474,,0.010744435917114492,0.5408933333333333,0.25028825728214527,0.0,0.5408933333333333,0.733296
2025-07-15,4.098,3.802,3.951,3021914.14,11904347.72,4.083,direct,,DOT,0.03340926347760065,0.02933006128977983,0.049344641480339346,0.5408933333333333,0.25028825728214527,0.0,0.5408933333333333,0.733296
2025-07-16,4.269,4.013,4.083,3213453.85,13325993.29,4.158,direct,,DOT,0.018368846436443764,0.027124734375960753,0.04367469879518082,0.5408933333333333,0.25028825728214527,0.0,0.5408933333333333,0.733296
